,validation_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model_params/n_hidden,config/model_params/n_layers,config/model_params/n_latent,config/model_params/gene_likelihood,config/train_params/max_epochs,config/train_params/plan_kwargs/lr,logdir
52,8459.6591796875,1728424580,,True,1,ff02ef33,2024-10-08_21-56-20,8.386331558227539,8.386331558227539,12024,ip-12-0-0-75,12.0.0.75,8.386331558227539,1,64,4,20,zinb,100,0.0008239104210539421,ff02ef33
53,7912.25732421875,1728424594,,True,2,fec03ac4,2024-10-08_21-56-34,6.658624649047852,13.91710877418518,12024,ip-12-0-0-75,12.0.0.75,13.91710877418518,2,128,3,40,nb,100,0.0036918079565022503,fec03ac4
54,7925.00146484375,1728424608,,True,2,48f99903,2024-10-08_21-56-48,6.405406475067139,13.671157598495483,12024,ip-12-0-0-75,12.0.0.75,13.671157598495483,2,256,2,10,nb,100,0.001652155156601424,48f99903
55,8439.05859375,1728424615,,True,1,280fc5f5,2024-10-08_21-56-55,7.314982891082764,7.314982891082764,12024,ip-12-0-0-75,12.0.0.75,7.314982891082764,1,256,2,30,nb,100,0.00044225907725892405,280fc5f5
56,7603.39453125,1728425297,,True,100,5622a3e9,2024-10-08_22-08-17,6.696783781051636,681.0595104694366,12024,ip-12-0-0-75,12.0.0.75,681.0595104694366,100,256,1,40,zinb,100,0.0012283223512817639,5622a3e9
57,8424.2802734375,1728425304,,True,1,a36910cf,2024-10-08_22-08-24,6.964541673660278,6.964541673660278,12024,ip-12-0-0-75,12.0.0.75,6.964541673660278,1,128,2,20,nb,100,0.0007062373170424903,a36910cf
58,7912.84619140625,1728425318,,True,2,93294ed1,2024-10-08_22-08-38,7.076103210449219,14.66084098815918,12024,ip-12-0-0-75,12.0.0.75,14.66084098815918,2,256,3,40,nb,100,0.00204331917161763,93294ed1
59,9088.1484375,1728425325,,True,1,46b96699,2024-10-08_22-08-45,6.852736473083496,6.852736473083496,12024,ip-12-0-0-75,12.0.0.75,6.852736473083496,1,64,2,50,nb,100,0.00014578665698177867,46b96699
60,7949.57421875,1728425341,,True,2,eaa26f4c,2024-10-08_22-09-01,7.572704553604126,16.017889261245728,12024,ip-12-0-0-75,12.0.0.75,16.017889261245728,2,256,4,40,nb,100,0.004312725049684559,eaa26f4c
61,7787.9404296875,1728425372,,True,4,dc982571,2024-10-08_22-09-32,7.3986663818359375,30.605628967285156,12024,ip-12-0-0-75,12.0.0.75,30.605628967285156,4,256,2,10,zinb,100,0.003066593413711972,dc982571
62,7565.302734375,1728426027,,True,100,83c1af81,2024-10-08_22-20-27,6.523252487182617,654.530520439148,12024,ip-12-0-0-75,12.0.0.75,654.530520439148,100,256,2,40,nb,100,0.0024638411373480457,83c1af81
63,7649.2744140625,1728426117,,True,16,0534e71d,2024-10-08_22-21-57,5.511718034744263,89.82064056396484,12024,ip-12-0-0-75,12.0.0.75,89.82064056396484,16,128,1,30,nb,100,0.0073590070461594225,0534e71d
