,gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval
69,Uxs1,treat,0.17613113679824938,0.09218117951095049,0.05629437056294371,-0.3294376992720557,0.3353436370267744,0.3066693330666933
70,Tpp2,treat,0.2070981625516275,0.045527363924489,0.0012804836706789952,0.33704018392274193,0.23352244740243502,0.15098490150984903
71,Ercc5,treat,0.24926566178759701,0.11186368840049467,0.025797420257974202,0.1655091055075478,0.8449048424113128,0.7983201679832017
72,Slc40a1,treat,0.15862064620137925,0.17738739418822372,0.37176282371762825,0.010338197296214435,0.2599335793523709,0.9702029797020298
73,Nabp1,treat,-0.01619520870848001,0.06349128943502073,0.8011198880111989,-0.10851996679677076,0.24956693112811346,0.6655334466553344
74,Stat4,treat,0.11696943515467327,0.10009403169879005,0.24337566243375663,-0.2622873806273546,0.15876237817933092,0.0984901509849015
75,Stat1,treat,0.3861928398554613,0.07044707941983391,0.00010374235750757847,-0.14708454357750564,0.17308653721040862,0.40075992400759924
76,Gls,treat,0.06225685958531836,0.04799474085267922,0.192980701929807,0.49083365727284006,0.5616565115498164,0.5088491150884912
77,Nab1,treat,0.06828132870363056,0.0451763421893869,0.130986901309869,0.3545852159517955,0.20530991335127796,0.08249175082491751
78,Mfsd6,treat,0.1495336148588917,0.09864997072395128,0.1327867213278672,-0.45548503926069356,0.25580759304419853,0.07629237076292371
79,Asnsd1,treat,0.18000621101511768,0.059520785570106566,0.0028997100289971,-0.098709881908245,0.31969820538729754,0.7519248075192481
80,Stk17b,treat,0.36930680611665473,0.039997114341709265,5.830280989406392e-06,-0.619868609323112,0.11607033482556664,0.00012306837459617517
81,Gtf3c3,treat,0.3252885439738934,0.11322455051688916,0.0053994600539946005,0.1193927056492061,0.5920477676619316,0.8152184781521847
82,Ankrd44,treat,0.15071023999634278,0.03898604551376461,0.0006901573270092587,-0.37678473359307096,0.11364724053317245,0.0011998800119988001
83,4930444A19Rik,treat,0.03505824810133928,0.11642014608025926,0.7691230876912308,-0.6096233558617151,0.46069096248468244,0.15008499150084992
84,Sf3b1,treat,0.13939001050202734,0.0279834656470128,0.00016521297744050514,0.09791331344032127,0.15717511103526116,0.5347465253474653
85,Coq10b,treat,0.17968425984022093,0.041291950220744604,0.0002871950084742595,-0.9516852348711603,0.28237636339512723,0.0035996400359964
